,Название статьи,Дата,Кол-во просмотров
82,В Одесской области провели эпидемобследование очага сибирской язвы,15.08.2020,536
83,"COVID-19: За истекшие сутки в Одесской области заболели 139 человек, 5 — умерли",15.08.2020,806
84,Одесский полицейский получит срок за требование взятки от американца,15.08.2020,415
85,В Одессу на отдых прибыл наркокурьер из Европы с кокаином на 1 миллион гривен,15.08.2020,444
86,На посёлке Котовского в Одессе поздним вечером горела высотка,15.08.2020,766
87,2 сотрудника одесской миграционной службы решили нажиться на ремонте,14.08.2020,366
88,Почему в одесском аэропорту задержали камерунца с гвинейским паспортом,14.08.2020,363
89,В Одесской области уже 2 недели подряд наблюдается рост заболевания COVID-19,14.08.2020,1576
90,"14 августа — Маковая пятница: что вы знали о маке, но боялись спросить",14.08.2020,443
91,"Ущерб не большой, но поджилки тряслись: в Одессе загорелась автозаправка",14.08.2020,416
92,До 15 лет лишения свободы может получить директор нацпарка: за что,13.08.2020,421
93,"Одесский порт нарастил объёмы перевалки, в «минусе» только зерно",13.08.2020,389
94,Кому в Одессе отключат свет 14 августа,13.08.2020,778
95,В Одессе выступал театр на корабле из Германии,13.08.2020,461
96,Ломаченко и Лопес подписали контракт на бой 17 октября,13.08.2020,398
97,ОНМедУ никто не закрывал из-за противопожарных нарушений,13.08.2020,473
98,В Одесской области заблудились в катакомбах двое мужчин,13.08.2020,329
99,COVID-19 в Одессе: за сутки в инфекционку поступили 38 человек,13.08.2020,407
100,COVID-19 в Одесской области: возможность заболеть на пляжах не связана с водой,13.08.2020,592
101,Украина обогнала Китай по количеству заболевших коронавирусом,13.08.2020,482
102,Одесскую область атакуют кукурузный жук и томатная моль,13.08.2020,489
103,"День независимости Украины: парада не будет, нумизматам тоже можно не радоваться",13.08.2020,341
104,Одесский мясник подхватил «сибирку»,13.08.2020,541
105,Полиция за полчаса вычислила лжеминёра одесского аэропорта,12.08.2020,451
106,Паспорта в форме книжечки планируют постепенно обменять на ID-карточки,12.08.2020,446
107,Кому в Одессе отключат свет 13 августа,12.08.2020,749
108,Накануне нового учебного года Одесса объединила педагогов со всей Украины,12.08.2020,382
109,В Одесской области погибли в серьёзном ДТП два человека,12.08.2020,474
110,В Украине заработал закон об авиационном сборе с вылетающих пассажиров,12.08.2020,401
