,Название статьи,Дата,Кол-во просмотров
907,В Украине за сутки от коронавируса умерли 13 человек,19.05.2020,823
908,В Одессе произошло очередное обрушение жилого дома,19.05.2020,984
909,У кого в Одессе 19-20 мая не будет воды,19.05.2020,1018
910,За надругательство над могилами жителю Одесской области светит 3 года,18.05.2020,1188
911,СБУ пока не планирует объявлять подозрение одесскому активисту,18.05.2020,783
912,Минздрав позволит открыть пляжный сезон,18.05.2020,938
913,В Одессе внедряют централизованный сбор масок и одноразовых перчаток,18.05.2020,540
914,В одесских больницах возобновлены плановые операции,18.05.2020,737
915,Подозреваемых в присвоении денег на качели в Одессе отправили под домашний арест,18.05.2020,1008
916,Нардеп поздравила одесситов с большим семейным стажем,18.05.2020,730
917,За последние сутки в Одессе зарегистрированы 8 новых случаев COVID-19,18.05.2020,1049
918,В Подольске зарегистрированы ещё две жертвы COVID-19,18.05.2020,1067
919,За прошедшие сутки в Украине умер от коронавируса 21 человек,18.05.2020,842
920,"Кому в Одессе и пригородах с понедельника, 18 мая, отключат свет",18.05.2020,1383
921,В Одессе от коронавируса умерли пенсионерка и врач-реаниматолог,17.05.2020,1134
922,В Украине за сутки от коронавируса умерли ещё 17 человек,17.05.2020,1094
923,Суицид или убийство: полиция устанавливает причины падения одессита с 20-го этажа,17.05.2020,1077
924,"В Суворовском районе Одессы сегодня 2 пожара, есть жертвы",16.05.2020,1407
925,В Одессе поднят флаг ЕС в честь Дня Европы,16.05.2020,761
926,Фемида закрыла глаза от стыда: вместо Стерненко СБУ выдала подозрение его жертвам,16.05.2020,1225
927,Коронавирус в Одессе не исчезает: больных за сутки стало больше,16.05.2020,1815
928,"Министр инфраструктуры, побывав в Одесском аэропорту, решил, что взлётка готова на 98%",16.05.2020,978
929,21 человек умер за сутки в Украине от коронавируса,16.05.2020,969
930,Зеленский наградил одесских учёных высокими государственными наградами,16.05.2020,1050
931,В Одессе проживают 207 женщин с почётным званием Украины «Мать-героиня»,15.05.2020,825
932,Мэр Одессы принял майские солнечные ванны на пляжах с пользой для дела,15.05.2020,874
933,Одесский полярник Александр Зулас возвращается домой,15.05.2020,758
934,Начальник Одесской таможни: Проведение обысков СБУ было незаконным,15.05.2020,768
935,В Одессе поймали подозреваемых в ограблении пункта валюты,15.05.2020,1108
936,Зачем министр инфраструктуры приехал в Одессу,15.05.2020,1992
937,За последние сутки в Одессе 10 новых случаев COVID-19,15.05.2020,1500
938,В Украине почти 500 человек заболели COVID-19 за прошедшие сутки,15.05.2020,820
939,В Одессе возле «Привоза» начинается капремонт Новощепного ряда,15.05.2020,1047
940,Зеленский прислушался к Порошенко и продлил запрет на «Одноклассники» и «Вконтакте»,15.05.2020,768
941,Более 200 улиц и 2 пригорода Одессы 15 мая останутся без света,15.05.2020,1691
942,C 15 мая Одесский зоопарк возобновляет свою работу,14.05.2020,771
943,С 15 мая на маршруты Одессы выйдут дополнительные автобусы,14.05.2020,1034
944,За последние сутки в Одессе зарегистрированы пять новых случаев COVID-19,14.05.2020,1130
945,Ночью на Градоначальницкой в Одессе сгорело 2 автомобиля,14.05.2020,758
946,Зеленский сменил главу СБУ в Одесской области,14.05.2020,752
947,Следующий этап смягчения карантина — 22 мая: что разрешат,14.05.2020,1175
948,Глава Одесской ОГА обеспокоен масштабами засухи в регионе,14.05.2020,743
949,В Украине больны коронавирусом свыше 3200 медиков,14.05.2020,698
950,"Киберполиция заблокировала три онлайн-казино, владельцем которых был одессит",14.05.2020,760
951,СБУ перетряхивает Одесскую таможню,14.05.2020,877
952,Кому в Одессе 14 мая отключат свет,14.05.2020,1284
953,Таксисты теперь могут ездить по полосам для общественного транспорта,13.05.2020,1089
954,Кто в Одессе и пригородах 13-15 мая останется без воды,13.05.2020,1033
955,"Одесская теннисистка не только отлично играет, но и классно поёт",13.05.2020,760
956,71 спортсмен получит персональные выплаты мэра Одессы,13.05.2020,814
957,В Одессе выступили в поддержку зрелищных мероприятий,13.05.2020,656
958,В Одесской области сняли с мели судно «Гидрограф»,13.05.2020,933
959,Как в Одессе на Староконном рынке бастовали предприниматели,13.05.2020,1130
960,В одесской полиции пока не знают имя поджигателя автомобиля жителя Суворовского района,13.05.2020,782
961,"В Одесской области зарегистрировано больных коронавирусом больше, чем во всей Грузии",13.05.2020,1306
962,В Украине больны коронавирусом 1 130 детей,13.05.2020,751
963,«Черноморец» провёл первые послекарантинные тренировки,13.05.2020,568
964,Кому в Одессе 13 мая отключат свет,13.05.2020,991
965,Одесских выпускников ждёт ВНО с 25 июня,12.05.2020,803
966,Глава Одесской ОГА избавился от зама: «С такими нам не по дороге»,12.05.2020,935
967,"В Одессе восстановлен дом на Ризовской, пострадавший от урагана",12.05.2020,925
968,Заместитель Куцого громко хлопнул дверью Одесской облгосадминистрации,12.05.2020,1049
969,На прошлой неделе в Одессе родились четыре двойни,12.05.2020,786
970,«Кина не будет»: Одесский кинофестиваль переносится на осень,12.05.2020,704
971,Кому в Одессе 13 мая на два дня отключат воду,12.05.2020,1172
972,"Оказывается, в Одессе Куликово поле 2 мая и парк 9 мая закрывали для психического влияния",12.05.2020,1373
973,В ВМС начат набор в экипаж патрульных катеров класса Island,12.05.2020,730
974,"В Мексике нашли мёртвым украинского моряка, а в Нидерландах труп члена экипажа лайнера",12.05.2020,1050
975,За сутки в Одессе от коронавируса никто не умер,12.05.2020,973
976,"Куцый сказал, что эпидемическая ситуация в Одесской области контролируется",12.05.2020,1006
977,В Украине на сегодняшний день от коронавируса умерли 425 человек,12.05.2020,782
978,Кто в Одессе 12 мая попадёт под массовое отключение света (дополненная),12.05.2020,1219
979,Одесситы-члены экипажа мальтийского круизного лайнера вернулись домой,11.05.2020,1041
980,Ряды заболевших коронавирусом за последние сутки пополнились четырьмя одесситами,11.05.2020,1093
981,В Одесской области тепловоз столкнулся с автомобилем,11.05.2020,1107
982,В Одесской области в воскресенье от коронавируса умерли ещё 2 человека,11.05.2020,1113
983,"Авось пронесёт: в Украине сегодня 15 648 больных коронавирусом, умерших — 408",11.05.2020,876
984,В Одесской области спасатели тушили пожар и нашли труп,11.05.2020,915
985,Президент Украины присвоил звание «Мать-героиня» 34-м одесситкам,11.05.2020,729
986,"Сегодня одесситы могут постричься, сходить к стоматологу и в музей",11.05.2020,790
987,В Одессе 107 человек больны COVID-19,10.05.2020,1409
988,Для одесской полиции День Победы прошёл «без существенных нарушений»,10.05.2020,1017
989,Спецназ ВМС провёл учения в Одесском порту,09.05.2020,734
990,В Одессе празднуют День Великой Победы,09.05.2020,2457
991,В Одесском порту почтили память павших в годы войны,09.05.2020,1142
992,Одесса отмечает 75-ю годовщину Великой Победы,09.05.2020,1144
993,В Одессе с почестями перезахоронили воинов Великой Отечественной,08.05.2020,834
994,Медики «скорой» Одесской области не получили доплату за работу по борьбе с COVID-19,08.05.2020,881
995,Грузия вызвала своего посла в Украине для консультаций из-за назначения Саакашвили,08.05.2020,979
996,На Польском спуске в Одессе рухнул жилой дом,08.05.2020,1298
997,В Измаиле на пожаре нашли обгоревшее тело хозяйки квартиры,08.05.2020,759
998,Шесть одесситов заболели коронавирусом за последние сутки,08.05.2020,1170
999,В Одессе отметили День памяти и примирения,08.05.2020,663
1000,"Если верить лабораториям, за сутки в Украине от COVID-19 умер 21 человек",08.05.2020,897
1001,"Что разрешено в Украине с 11 мая, а что нет",08.05.2020,1092
1002,Кому в Одессе 8 мая отключат свет,08.05.2020,1227
1003,"Министр охраны здоровья вспомнил, как осуществлял медреформу в Одесской области",07.05.2020,701
1004,Ломаченко и Усик после съёмок российского фильма попали в базу «Миротворца»,07.05.2020,977
1005,Как в Одессе отметят День Победы,07.05.2020,741
1006,"В защиту одесского активиста, добившего ножом нападавшего на него, выступил нардеп Колев",07.05.2020,1077
1007,За последние сутки в Одессе зарегистрированы 2 новых случая COVID-19,07.05.2020,1006
1008,Кому в Одессе 8 мая отключат воду,07.05.2020,790
1009,57 дней карантина в Одесской области: умерло 4 человека,07.05.2020,781
1010,В Украине за сутки прибавилось полтысячи больных коронавирусом,07.05.2020,1084
1011,Геннадий Труханов: «Карантин в Одессе закончен»,07.05.2020,4173
1012,Шмыгаль: Массовых мероприятий 9 мая не будет,07.05.2020,695
1013,Старейшему практикующему врачу Одессы исполнилось 102 года,07.05.2020,1065
1014,Кто в Одессе 7 мая останется без света,07.05.2020,1663
1015,Карантин не повлиял на работу аммиакопровода «Тольятти-Одесса»,06.05.2020,918
1016,Мэр Одессы вручил трём многодетным семьям документы на квартиры,06.05.2020,814
1017,Кому в Одессе 7 мая отключат воду,06.05.2020,930
1018,"8,5 тонн пальмового масла вылилось в акваторию порта Южный",06.05.2020,1040
1019,В Одессу после плена и ремонта вернулся буксир «Яны Капу»,06.05.2020,696
1020,"Семь одесситов подхватили коронавирус за последние сутки, один умер",06.05.2020,1235
1021,В Одессе оштрафовали директора компьютерного клуба за нарушение ограничений,06.05.2020,740
1022,После скандала Зеленский не приехал встречать второй рейс с гуманитаркой — послал Шаталову,06.05.2020,995
1023,Одесский бизнесмен закрыл штаб по борьбе с COVID-19: «Свою работу мы выполнили»,06.05.2020,1028
1024,Одесские лаборатории за сутки подтвердили у 36 пациентов диагноз COVID-19,06.05.2020,934
1025,На 56-й день карантина в Украине от COVID-19 умерло ещё 11 человек,06.05.2020,762
1026,Кому в Одессе 6 мая отключат свет,06.05.2020,1092
1027,Война с памятниками продолжается: в Одесской области снесли бюст Котовского,05.05.2020,975
1028,Командиру катера «Скадовск» грозит 15 лет за посадку корабля на мель,05.05.2020,847
1029,Одесские пограничники разочаровали грузинских нумизматов,05.05.2020,600
1030,В морпорту «Южный» пограничники обнаружили 53 кг кокаина в контейнере с бананами,05.05.2020,721
1031,Одесскому нардепу не дали попиариться в роддоме,05.05.2020,1089
1032,Президент Украины назначил стипендии одесским спортсменам и их тренерам,05.05.2020,878
1033,В Одесской области 469 случаев COVID-19,05.05.2020,1084
1034,За последние сутки в Одессе зарегистрированы 3 новых случая COVID-19,05.05.2020,1148
1035,В Одессе на прошлой неделе родились 184 ребёнка,05.05.2020,662
1036,Украина в карантине уже 55 дней: за сутки ещё 13 летальных случаев,05.05.2020,787
1037,"Прокурор из Одесской области потребовал 4 тысячи долларов, чтоб закрыть уголовное дело",05.05.2020,935
1038,«Одессаоблэнерго» 5 мая отключит свет в домах на 108 улицах города,05.05.2020,1626
1039,В школах Одессы учебный год завершится в конце мая,04.05.2020,775
1040,Судно ГП «ЧерноморНИИпроект» село на мель на Лебедевской косе в Татарбунарском районе,04.05.2020,737
1041,Кому в Одессе и пригороде отключат воду с 5 на 6 мая,04.05.2020,1069
1042,В Одессе продолжают запускать фонтаны и лечить каштаны,04.05.2020,859
1043,"Карантин в Украине продлили до 22 мая, но с 11 мая – смягчение",04.05.2020,824
1044,За что одесситка убила свою подружку,04.05.2020,901
1045,За прошедшие сутки в Одессе никому не поставили диагноз COVID-19,04.05.2020,901
1046,В прошедшее воскресенье в Одесской области 18 человек заболели COVID-19,04.05.2020,859
1047,54-й день карантина в Украине: за сутки умерли 15 человек,04.05.2020,730
1048,30-летний флагман ВМФ Украины справился со стрельбами в Чёрном море,04.05.2020,685
1049,Не перевелись ещё в Одесской области советские патриоты,04.05.2020,898
1050,Кому в Одессе 4 мая отключат свет,04.05.2020,902
1051,У коронавируса в Одесской области выходных нет: за сутки 80 новых больных,03.05.2020,1240
1052,"53-ий день карантина в Украине: новые больные, новые жертвы",03.05.2020,1006
1053,Правоохранители задержали группу похитителей икон из одесских церквей,03.05.2020,1019
1054,"Не факт, что возвращающиеся паромом из Турции украинцы здоровы",03.05.2020,1377
1055,Зеленский выразил искренние соболезнования семьям погибших в Одессе 2 мая 2014 года,02.05.2020,714
1056,Чествование погибших 2 мая завершилось закрытием Куликова поля на санобработку,02.05.2020,1254
1057,В Одессе на 2 мая насчитывается 76 заражённых коронавирусом,02.05.2020,2410
1058,За сутки в Одесской области установили ещё 33 коронавирусных,02.05.2020,996
1059,Скандально известный Институт нацпамяти выложил фильм “2 мая. Без мифов”,02.05.2020,1315
1060,"В Украине уже насчитали почти 11,5 тысяч заражённых вирусом COVID-19",02.05.2020,1226
1061,2 мая с утра одесская полиция блюдёт порядок и нравственность жителей в районе Куликова поля,02.05.2020,1423
1062,"Одесского педофила, от которого сбежала 7-летняя девочка, суд отправил домой",02.05.2020,1256
1063,На Куликовом поле в Одессе восстановили флагшток с Государственным флагом,02.05.2020,1413
1064,За сутки в Одесской области поставили диагноз COVID ещё 19 пациентам,01.05.2020,2013
1065,"Одесский нардеп: Если события 2 мая не будут расследованы, значит, в государстве нет закона",01.05.2020,1850
1066,"СБУ накануне 2 мая, по традиции, попугало Украину сепаратизмом",01.05.2020,880
1067,Цепь заражения коронавирусом в Подольске удалось разорвать,30.04.2020,1572
1068,"Девочка, сбежавшая в Одесской области от педофила, получила подарки от полиции",30.04.2020,1239
1069,Медики «скорой» отмечают 117-ю годовщину основания старейшей станции Одесской области,30.04.2020,819
1070,Природный парк «Тузловские лиманы» гостеприимно встречает перелётных птиц,30.04.2020,992
1071,С 18 мая начнётся зачисление детей в одесские школы,30.04.2020,809
1072,В Одесском порту загружают зерном два балкера одновременно,30.04.2020,1078
1073,Аграрии южных областей Украины серьёзно пострадали от засухи,30.04.2020,708
1074,В Одессе готовятся к купальному сезону,30.04.2020,850
1075,За последние сутки в Одесском регионе зарегистрированы 16 новых случаев COVID-19,30.04.2020,733
1076,Кто в Одессе 30 апреля останется без света,30.04.2020,1447
1077,Одесская теннисистка тренируется на берегу Чёрного моря,29.04.2020,622
1078,После «Нептуна» в Одесской области испытывают «Тайфун-1»,29.04.2020,600
1079,"Кабмин разрешил рынкам работать, но с условиями",29.04.2020,665
1080,В Одесской области мужчина на перекрашенном авто пытался похитить 7-летнюю девочку,29.04.2020,1149
1081,В Одесском горсовете образовалась депутатская группа «ОП-ЗЖ»,29.04.2020,1175
1082,Мэр Одессы по скайпу поговорил с новым главой миссии ОБСЕ в Одесской области,29.04.2020,501
1083,За последние сутки COVID-19 подтверждён у 10 одесситов,29.04.2020,969
1084,Ещё 13 жителей Одесской области заболели коронавирусом за сутки,29.04.2020,961
1085,Среди умерших в Украине от коронавируса большинство мужчин,29.04.2020,1098
1086,Лучший способ отступления — нападение: Стерненко подал в суд на генпрокурора,29.04.2020,1499
1087,«Одессаоблэнерго» многих одесситов оставит без света 29 апреля,29.04.2020,1299
1088,Инфоксводоканал просит некоторых одесситов запастись водой на 29 апреля,28.04.2020,1084
1089,Одесская теннисистка проиграла на виртуальном турнире в Испании,28.04.2020,880
1090,В Одессе добавили автобусные маршруты,28.04.2020,787
1091,Кого в Одессе 29 апреля оставят без газа,28.04.2020,746
1092,"Улетают души, улетают: Что чаще всего убивает одесситов",28.04.2020,705
1093,Полиция задержала псевдоминёра магазина на Генуэзской в Одессе,28.04.2020,1460
1094,В Одессе на прошлой неделе родились 184 малыша,28.04.2020,622
1095,В прошедший понедельник в Одессе не зарегистрирован ни один больной COVID-19,28.04.2020,874
1096,В Подольске Одесской области увеличивается количество заболевших COVID-19,28.04.2020,1456
1097,Президент сказал: Продрынки могут заработать уже в пятницу,28.04.2020,1355
1098,Впервые в Украине в Одесской области проведут ИФА-тестирование на COVID-19,28.04.2020,907
1099,Кто в Одессе 28 апреля попадёт под очередное отключение электроэнергии,28.04.2020,1234
1100,Украинская армия продолжает тестировать ракетный комплекс “Нептун” в Одесской области,27.04.2020,629
1101,Одесский «Черноморец» разрывает контракт с очередным главным тренером,27.04.2020,636
1102,Кто в Одессе 28 апреля останется без воды,27.04.2020,1165
1103,У защиты обвиняемого в убийстве девочки в одесской Лощиновке есть аргументы в его пользу,27.04.2020,1083
1104,В Одессе отметили День памяти жертв геноцида армян в Османской империи,27.04.2020,901
1105,Полиция Одессы перед 2 мая напомнила об ответственности за митинги во время карантина,27.04.2020,944
1106,Кому в Одессе 28 апреля отключат газ,27.04.2020,774
1107,"На Бога надейся, а сам не плошай: митрополит Агафангел освятил поля",27.04.2020,946
1108,Ряды заболевших в Одессе коронавирусом пополнились ещё тремя людьми,27.04.2020,972
1109,Коронавирус продолжает распространяться по Одесской области,27.04.2020,1168
1110,11 человек за воскресенье умерли в Украине от COVID-19,27.04.2020,649
1111,Вахту сдал — вахту принял: одесские метеорологи провели пересменку в Антарктиде,27.04.2020,442
1112,В Одессе почтили память погибших ликвидаторов Чернобыльской трагедии,27.04.2020,553
1113,"Предупреждали, что калкана ловить нельзя, в Одесской области не послушались",26.04.2020,1299
1114,Главу МВФ Воронченко обвиняют в государственной измене,26.04.2020,3971
1115,"Беречь себя и своих близких призвал глава Одесской ОГА, сообщив о 219 заболевших",26.04.2020,865
1116,Жителей Одессы и области ночью слегка «трухануло»,25.04.2020,900
1117,За одесского «короля контрабанды» внесли дополнительно 41 миллион залога,25.04.2020,1564
1118,52 жителя Одессы не уберегли себя от коронавируса,25.04.2020,1463
1119,"В Одессе можно было запросто попрощаться с жильём, благодаря «чёрным» нотариусам",25.04.2020,1218
1120,"В Одесской области 183 заболевших COVID-19, больше всего в Подольске",25.04.2020,1340
1121,Во всей Украине более 8 тысяч заболевших коронавирусом,25.04.2020,700
1122,В США подтвердили существование в Украине военных биолабораторий,25.04.2020,1787
1123,В Тбилиси пригрозили отозвать посла из Киева в случае назначения Саакашвили,24.04.2020,886
1124,Полиция тоже подозревает поджог здания монастыря Одесской епархии УПЦ,24.04.2020,714
1125,Мэр Одессы пообщался с сотрудниками коммунальных служб,24.04.2020,491
1126,В Одессе поминальные дни перенесены на 6 июня,24.04.2020,688
1127,В одесской инфекционке решили создать собственную ПЦР-лабораторию,24.04.2020,646
1128,МИД Украины обсуждает с Ливией освобождение заключённых моряков судна RUTA,24.04.2020,839
1129,Одесская область получила новые кареты скорой помощи,24.04.2020,961
1130,В Одессе за последние сутки не зарегистрирован ни один новый случай заболевания COVID-19,24.04.2020,759
1131,За минувшие сутки в Украине добавилось почти 500 новых больных на COVID-19,24.04.2020,722
1132,В Одессе умышленно подожгли Свято-Успенский мужской монастырь,24.04.2020,1819
1133,"В Одессе воры напали на обменный пункт, украли много",24.04.2020,775
1134,Кому в Одессе сегодня с вечера и до утра «вырубят» свет,23.04.2020,1201
1135,"Прокуратура сообщила о подозрении бандитам, выкравшим в Черноморске мужчину",23.04.2020,472
1136,Кто ещё в Одессе 24 апреля останется без воды,23.04.2020,1020
1137,Медработники Одессы получили бесплатный проезд в электротранспорте,23.04.2020,425
1138,Скандал в Одессе: Мэра поставили перед фактом или подставили,23.04.2020,1059
1139,В Одессе совершено дерзкое ограбление ночного магазина,23.04.2020,650
1140,Кому в Одессе сегодня ближе к ночи отключат воду,23.04.2020,735
1141,"По официальным данным, в Одессе 23 апреля 50 человек, заболевших COVID-19",23.04.2020,798
1142,Одесский лабораторный центр подтвердил 161 больного COVID-19,23.04.2020,770
1143,Кому в Одессе 23 апреля отключат свет,23.04.2020,1267
1144,Одесские прокуроры подозревают директора нацпарка в блокировании реки,22.04.2020,1115
1145,Измаильские пограничники конфисковали 5 километров браконьерских сетей,22.04.2020,625
1146,Зеленский попросил Саакашвили пришвартоваться к Кабмину,22.04.2020,893
1147,В Украине продлили карантин по 11 мая,22.04.2020,669
1148,"Эх, дороги: Где в Одессе запланирован их ремонт",22.04.2020,836
1149,У берегов Бенина пираты захватили украинца,22.04.2020,667
1150,Глава Одесского облсовета посетил Болградскую больницу: что обещал,22.04.2020,654
1151,Одесса борется с заразой как может,22.04.2020,1329
1152,В Одесской области COVID-19 у 151 человека,22.04.2020,550
1153,"Итак, в Украине 6.5 тысяч больных коронавирусом",22.04.2020,1507
1154,В ночь с 22 на 23 апреля некоторым одесситам отключат воду,22.04.2020,1263
1155,"Мэр Одессы испугался окрика из Офиса Президента: рынки закрыты, заодно и кладбища",22.04.2020,1933
1156,Кому в Одессе выключат свет 22 апреля,22.04.2020,835
1157,В Одессе на прошлой неделе родились 183 малыша,21.04.2020,760
1158,"Украинские полярники, в том числе один одессит, добрались до Антарктиды",21.04.2020,464
1159,Главе ОП не понравились открытые рынки в Одессе: Базара не будет,21.04.2020,1104
1160,"Подольск закрывают и дезинфицируют, в город направили Нацгвардию",21.04.2020,758
1161,Очередной пожар в Одессе: найден труп на улице Космонавтов,21.04.2020,1513
1162,На Подходном канале Одесского порта проводится дноуглубление,21.04.2020,619
1163,Одесская епархия продолжает помогать медработникам,21.04.2020,562
1164,Миллионы диких пчёл заполонили Национальный парк «Тузловские лиманы»,21.04.2020,839
1165,Глава Минздрава: Карантин продлят до 12 мая,21.04.2020,604
1166,"Если верить Минздраву, за прошедшие сутки в Украине умер 161 человек",21.04.2020,1003
1167,Рухнувшее здание на Канатной в Одессе частично демонтировали,21.04.2020,692
1168,У двух маленьких деток из Измаила COVID-19 не подтвердился,21.04.2020,643
1169,"Гондурасец уверен, что нокаутирует Ломаченко",20.04.2020,677
1170,Количество заболевших в Украине COVID-19 приближается к 6 тысячам,20.04.2020,647
1171,Как в Одессе святили пасхальные куличи,20.04.2020,982
1172,В Одесской области от коронавируса умер врач,20.04.2020,1256
1173,Из Турции в Одессу доставили дельфинов на «пересидку»,19.04.2020,1478
1174,Известному одесситу исполнилось 85 лет,19.04.2020,1686
1175,Количество заболевших COVID-19 перед Пасхой украинцев увеличилось на 343 человека,19.04.2020,759
1176,Сегодня Пасха: сидим дома и цокаемся яйцами. Христос Воскрес! — Воистину Воскрес!,19.04.2020,2015
1177,В Суворовском районе Одессы произошло смертельное ДТП,18.04.2020,1782
1178,Суд обязал генпрокурора вернуть из СБУ в полицию дело Стерненко,18.04.2020,1297
1179,Самому молодому больному COVID-19 в Одессе всего лишь год и 3 месяца,18.04.2020,1153
1180,COVID-19 в Украине: + 444 новых заболевших,18.04.2020,662
1181,Антикоррупционный суд взыскал в пользу государства 35 миллионов из залога Альперина,17.04.2020,787
1182,Вспышка COVID-19 в Одесской области: на въездах в Подольск установили посты,17.04.2020,732
1183,"Полицейские задержали иностранцев, причастных к краже из автомобиля одессита",17.04.2020,989
1184,Более 10 тысяч куличей испекут в Свято-Архангело-Михайловском женском монастыре,17.04.2020,625
1185,Минобразования рекомендует школам не проводить последние звонки и выпускные,17.04.2020,461
1186,За что одесская аптекарша может угодить за решётку,17.04.2020,751
1187,Мир не без добрых людей: как одесский бизнес помогает бороться с COVID-19,17.04.2020,527
1188,Такого скачка подтверждённых случаев COVID-19 в Одессе ещё не было,17.04.2020,1804
1189,Кому в Страстную пятницу в Одессе отключат свет,16.04.2020,1029
1190,В Одессе на выходных будет ограничено движение транспорта,16.04.2020,678
1191,Ломаченко побеждает и в виртуальном поединке,16.04.2020,523
1192,Мэр Одессы посетил опорные для больных COVID-19 медучреждения,16.04.2020,536
1193,В Одессе запустили первые фонтаны,16.04.2020,471
1194,Как и на что живёт начальник СБУ в Одесской области,16.04.2020,1250
1195,Что скажет глава Одесского облсовета на решение суда,16.04.2020,599
1196,Одесситов просят поддержать петицию об открытии границ для моряков,16.04.2020,2649
1197,"Для одних обсервация в Одессе завершилась, другие всячески её избегают",16.04.2020,1255
1198,Глава Одесской ОГА отчитался ещё о трёх заболевших COVID-19,16.04.2020,657
1199,Одесская теннисистка Даяна Ястремская представила мультфильм о борьбе с COVID-19,16.04.2020,739
1200,Кого в Одессе 16 апреля оставят без света,16.04.2020,782
1201,Нарушитель лишился микроавтобуса из-за пересечения границы вне КПП в Одесчине,15.04.2020,534
1202,В Украине снова будет госрегулирование цен на социальные продукты,15.04.2020,615
1203,В Одесской области объявлен запрет на спецвылов сельди,15.04.2020,769
1204,Одесского депутата включили в базу «Миротворца»,15.04.2020,889
1205,Как живут одесские ректора,15.04.2020,1316
1206,Одесские пиротехники обезвредили более 50 снарядов с прошедшей войны,15.04.2020,476
1207,Одесская епархия и ресторан «Рыба» взяли шефство над Центром экстренной медпомощи,15.04.2020,635
1208,"В Одессе разоблачён бизнесмен, завладевший семью миллионами бюджетных денег",15.04.2020,1028
1209,Глава Одесской ОГА поблагодарил министра за присланные 977 пар очков,15.04.2020,902
1210,В Одессе впервые заболел COVID-19 врач,15.04.2020,1392
1211,Кому в Одессе 15 апреля отключат свет и газ,15.04.2020,1227
1212,В Одессе создаётся картинная галерея под открытым небом,14.04.2020,2009
1213,В Белгород-Днестровском отреагировали на закрытие рынков акцией протеста,14.04.2020,971
1214,"Ночью на Шкодовой Горе в Одессе пытались украсть кабель, а попавшись, предлагали взятку",14.04.2020,862
1215,Мэру Одессы сообщено ещё одно подозрение,14.04.2020,510
1216,Одесские таможенники перехватили крупную партию антиквариата,14.04.2020,583
1217,Всех пассажиров парома из Турции отправили на обсервацию в «Куяльник»,14.04.2020,1330
1218,В Одесской области очередной пожар с трупом в частном доме,14.04.2020,1940
1219,Одесская епархия активно поддерживает нуждающихся,14.04.2020,563
1220,"Санкатер «Сокаль», дислоцирующийся в Одессе, готов принимать больных",14.04.2020,934
1221,За истекшие сутки в Украине заболели COVID-19 270 человек,14.04.2020,641
1222,С 14 апреля рынки в Украине снова закроют,14.04.2020,1992
1223,69 человек в Одесской области имеют подтверждённый диагноз COVID-19,14.04.2020,1369
1224,Кому в Одессе 14 апреля облэнерго отключит свет,14.04.2020,905
1225,В одесской мэрии определились с празднованием Пасхи,13.04.2020,1586
1226,В Одессе на прошлой неделе родились 165 малышей,13.04.2020,863
1227,В Одессе расцвёл Ботанический сад,13.04.2020,1159
1228,Ушицы захотелось: белгород-днестровские пограничники поймали браконьера,13.04.2020,522
1229,За переправку нелегала через украинскую границу одессит установил таксу — $500,13.04.2020,705
1230,В Черноморск из Турции прибывают паромом ещё 40 украинцев,13.04.2020,1031
1231,В Украине от коронавируса умерло 93 человека,13.04.2020,727
1232,Одесские власти сообщили о первой смерти от коронавируса,13.04.2020,1185
1233,Кто в Одессе 13 апреля останется без света и воды,13.04.2020,1463
1234,Украина месяц в карантине: в среднем по 90 человек заболевших в день и по 3 — умерших,12.04.2020,689
1235,В парке «Тузловские лиманы» построили новый экоостров для птиц,12.04.2020,667
1236,В Одессу пришло Вербное воскресенье,12.04.2020,1507
1237,В Одесской ОГА посчитали количество больных COVID-19 — 63 человека,12.04.2020,1122
1238,Кто в Одессе 13 апреля останется без воды,11.04.2020,1139
1239,Одесский преподаватель физики получил серебряную кнопку YouTube,11.04.2020,716
1240,Нацполиция: Решение о комендантском часе — только рекомендательное,11.04.2020,722
1241,Фотография одессита украсила журнал National Geographic Traveller,11.04.2020,785
1242,В Украине подтвердили 73 смерти от COVID-19,11.04.2020,650
1243,"Труханов: Я не хочу, чтобы самым посещаемым местом в Одессе была инфекционная больница",11.04.2020,1246
1244,В Суворовском районе Одессы запущен новый трамвайный маршрут,10.04.2020,1109
1245,"Одессе, Подольску и Усатово рекомендуют усилить карантин",10.04.2020,1088
